elapsed,1-services-batchprocess-1,elapsed,1-services-batchprocess-3,elapsed,1-services-batchprocess-5,elapsed,2-services-batchprocess-1,elapsed,2-services-batchprocess-3,elapsed,2-services-batchprocess-5,elapsed,3-services-batchprocess-1,elapsed,3-services-batchprocess-3,elapsed,3-services-batchprocess-5,elapsed,4-services-batchprocess-1,elapsed,4-services-batchprocess-3,elapsed,4-services-batchprocess-5
79731,10698.945945945947,79890,13831.257142857143,83101,16727.5,59896,4720.189189189189,79892,9760.842105263158,79893,11429.085714285715,57132,3741.945945945946,76440,8413.285714285712,79902,11595.871794871793,57338,3727.4054054054054,76561,8416.055555555553,79897,11071.195121951218
79890,11049.21052631579,79891,14315.111111111111,91604,18438.263157894737,59896,4869.921052631579,79893,9654.944444444445,79894,11987.025641025642,58106,3744.5263157894738,76440,8347.22222222222,79905,11485.57894736842,58264,3729.7631578947367,76561,8454.15789473684,79898,11004.0625
79890,11447.128205128205,79892,15783.28205128205,91604,18771.46153846154,60785,5038.333333333333,79895,10182.857142857143,79895,11701.027027027027,58875,3756.102564102564,76440,8354.051282051281,79907,11700.524999999998,59110,3733.897435897436,79427,8529.166666666664,79900,11037.588235294117
79892,12374.341463414634,85642,16571.80487804878,91604,19389.09756097561,61704,5196.55,79897,9809.615384615385,82042,12140.341463414634,59877,3765.2,79889,8373.15,81760,10928.129032258064,59114,3737.775,79900,8601.954545454542,83897,10967.8
79895,11889.025,85642,17093.97619047619,91604,20155.6511627907,63651,5349.414634146341,79900,9940.225,82043,12065.575,59879,3795.2926829268295,79890,8408.619047619048,81760,11754.902439024387,59894,3747.2926829268295,79901,8725.499999999998,83897,10901.888888888889
79895,13453.46511627907,85643,16187.375,91605,19087.975,64571,5495.714285714285,79902,10064.414634146342,84779,12385.581395348838,59879,3846.8333333333335,79890,8488.40909090909,85347,11788.954545454542,59897,3780.690476190476,79902,8566.395348837206,83897,10839.54054054054
79896,14046.931818181818,91992,17444.18604651163,101541,19663.214285714286,66519,5633.999999999999,80905,10350.883720930233,84779,12593.045454545454,59881,3919.720930232558,79891,8391.268292682927,85347,11843.377777777776,59898,3884.159090909091,79902,8665.088888888886,85635,11145.999999999998
79899,12897.380952380952,91992,17778.500000000004,101541,20399.909090909092,67439,5766.272727272727,80905,10511.272727272728,84779,12980.91304347826,60106,4005.159090909091,79892,8449.418604651162,85347,11895.434782608692,59904,3833.2093023255816,79903,8783.297872340425,85635,11183.590909090908
79899,14670.866666666667,91992,18826.65957446809,101541,20633.333333333332,69387,5893.2444444444445,80905,10664.555555555555,84779,13162.510638297872,61030,4086.6666666666665,79892,8525.62222222222,85348,11945.276595744679,61158,3925.2444444444445,79905,8478.560975609753,85635,11219.51111111111
82601,15262.760869565218,98443,18095.622222222224,101541,20856.608695652172,70307,6016.586956521739,83772,10822.391304347824,84781,12791.266666666666,61947,4164.782608695652,79892,8686.63829787234,85349,11799.071428571426,62082,3968.5652173913045,79907,8470.749999999996,85635,11127.723404255317
85264,15829.106382978724,98443,18398.956521739132,101543,21310.212765957443,72224,6134.808510638298,85107,10945.127659574466,88769,12168.238095238095,63071,4237.489361702128,79895,8607.847826086956,90667,11732.02325581395,63002,4012.6382978723404,79913,8462.58974358974,85636,11162.541666666664
87926,16369.666666666666,98443,19229.45833333334,111774,21531.770833333332,73071,6245.875,85108,11062.729166666664,95537,13259.25,63999,4307.041666666667,81965,8718.979166666666,92923,11880.12244897959,63003,4054.9791666666665,80709,8849.874999999998,91472,11146.899999999998
90588,16886.122448979593,104895,19484.142857142862,111774,22144.254901960783,75116,6354.551020408163,85109,11351.239999999998,95537,13526.666666666666,64878,4377.65306122449,81965,8829.510204081633,92923,11961.19607843137,64022,4093.469387755102,80709,8913.734693877548,91472,11217.450980392154
93251,17379.820000000003,104895,19728.660000000003,111775,21744.26530612245,76065,6456.38,88281,11455.92156862745,95538,13352.020408163266,65840,4443.68,81965,8935.62,92923,11999.423076923074,65049,4128.34,80709,8975.039999999997,91472,11375.666666666664
95911,17852.21568627451,104895,20530.849056603773,111776,21948.24,77962,6561.156862745098,88281,11623.55769230769,95538,13441.08,66863,4505.098039215686,82477,9027.549019607844,92923,12036.20754716981,65945,4166.411764705882,83676,9041.999999999998,92492,11265.673076923074
98472,18306.46153846154,111141,20193.653846153848,111776,22531.673076923078,78893,6655.807692307692,88282,11177.55102040816,95538,13687.826923076924,67786,4569.038461538462,82477,9137.500000000002,92924,11921.459999999997,65975,4202.5192307692305,85111,9114.18867924528,92492,11312.075471698112
101137,18741.56603773585,111141,20863.666666666668,123037,22691.98113207547,79891,6770.622641509434,91561,11722.981132075469,97171,13931.75925925926,68703,4629.735849056604,84738,9200.641509433965,95689,12016.145454545453,66892,4237.264150943396,85111,9171.872727272725,92492,11569.526315789471
103902,19154.925925925927,111142,19965.705882352944,123037,23138.553571428572,79893,8102.316666666667,91561,11818.72222222222,97172,13812.075471698114,69627,4688.111111111111,84738,9353.56363636364,95689,12041.821428571426,68001,4267.2037037037035,85112,9078.769230769229,93110,11091.369565217388
106462,19553.18181818182,117590,21571.122807017542,123038,22846.333333333332,79894,6898.111111111111,91561,11972.381818181817,97172,14047.072727272727,70654,4747.290909090909,84739,9261.425925925929,95690,12113.830508474573,69044,4297.6,88696,9110.370370370369,93110,11438.890909090907
109021,19939.071428571428,117591,21067.109090909093,123038,22995.090909090908,79894,7225.392857142857,94936,12060.285714285712,97172,14158.267857142857,71575,4802.0,89009,9366.14285714286,95691,12090.63793103448,69050,4375.438596491229,88696,9167.160714285712,93110,11499.857142857141
111681,20309.666666666668,117591,21263.285714285714,123038,23456.64912280702,79894,7423.333333333333,94936,12145.15789473684,97173,14425.741379310344,72645,4851.6140350877195,89009,9378.29824561404,95692,12066.649122807015,69964,4328.767857142858,88696,9198.36842105263,93110,11680.830508474573
114243,20669.206896551725,124147,21755.327586206895,132444,23601.620689655174,79895,7056.345454545454,94936,12285.344827586205,102081,14251.298245614034,73520,4904.637931034483,89012,9513.54237288136,98959,11837.041666666664,70886,4404.137931034484,90031,9205.482758620688,93111,11626.12068965517
116707,21021.71186440678,124147,21933.28813559322,132444,23877.083333333332,79898,7862.389830508475,98314,12363.508474576269,106293,14702.301587301587,74439,4954.016949152542,90055,9438.086206896556,99584,12167.899999999998,72016,4429.77966101695,90031,9242.849999999999,97780,11073.4693877551
119464,21364.266666666666,124148,22209.4,132445,24008.06557377049,79904,7629.4655172413795,98314,12439.066666666664,106294,14439.677966101695,75617,4995.2,90055,9569.083333333338,99584,12220.196721311473,72018,4474.1,90032,9212.338983050846,98435,11881.650793650791
122025,21695.55737704918,130493,22372.44262295082,132446,23741.661016949154,80867,8352.475409836066,98314,12569.229508196719,106294,14453.15,76489,5041.360655737705,90055,9674.87096774194,99584,12168.761904761903,72936,4515.081967213115,91345,9250.836065573769,98436,11677.216666666665
124499,22018.064516129034,130493,22530.209677419356,132446,24298.387096774193,81875,8592.693548387097,101698,12640.612903225805,106294,14466.180327868853,77409,5085.419354838709,92204,9605.229508196726,99584,12218.609374999998,73855,4557.870967741936,91345,9258.56451612903,98436,11747.590163934425
127146,22331.698412698413,130493,22787.0,143720,24400.539682539682,83797,8827.714285714286,101698,12709.730158730157,106295,14586.129032258064,78598,5122.349206349207,92204,9708.19047619048,99585,11989.518518518516,74982,4596.015873015873,91345,9300.476190476189,98436,11815.693548387095
129703,22635.84375,136605,22940.28125,143720,24595.415384615386,84538,9056.203125,101698,12832.671874999998,113344,14704.6875,79387,5165.359375,92204,9774.187500000004,105709,13525.884892086331,76008,4623.328125,92689,9320.078124999998,98436,11945.546874999998
132265,22933.492307692308,136605,23327.515151515152,143720,24688.454545454544,86689,9276.092307692308,104970,12901.492307692306,113344,14707.0,79878,5210.907692307693,96101,9778.215384615389,106872,12241.369230769229,76040,4657.215384615384,92689,9339.076923076922,104579,12985.42948717948
134824,23223.68181818182,136606,23088.830769230768,143721,24499.484375,87512,9490.818181818182,104970,13202.753623188404,113344,14709.242424242424,79878,5268.348484848485,96101,9782.121212121216,106872,12263.439393939392,76927,4698.045454545455,92689,9378.179104477611,106218,11847.287878787876
137383,23505.223880597016,142961,23464.223880597016,143721,25273.15492957747,89767,9694.910447761195,104971,12968.22727272727,113344,14771.0,79878,5632.057142857143,96101,9842.477611940301,106872,12292.811594202896,77935,4733.641791044776,96067,9372.044117647058,106218,11862.985074626864
139945,23778.45588235294,142961,23596.91176470588,154067,24781.492537313432,90377,9895.441176470587,108454,13031.417910447759,117446,14770.617647058823,79879,5342.4029850746265,97222,9884.573529411768,106872,12355.271428571426,79109,4753.779411764706,96068,9333.333333333332,106218,11878.220588235292
142504,24043.82608695652,142961,24055.12676056338,154067,24959.463768115944,92633,10087.91304347826,108456,13092.720588235292,117446,14770.260869565218,79879,5427.058823529412,97222,10012.070422535215,106874,12272.132352941175,79896,4772.449275362319,96069,9404.271428571426,106218,11907.399999999998
144964,24301.542857142857,149646,23721.782608695652,154067,25044.657142857148,93550,10272.957142857143,108457,13416.263888888887,117446,14769.914285714285,79881,5521.826086956522,97223,9925.4347826087,109101,12117.306451612902,79896,4810.114285714286,97605,9377.260869565216,106219,11893.014492753622
147521,24553.478873239437,149646,23843.085714285713,154068,24871.779411764706,95497,10452.56338028169,111831,13259.899999999998,117446,14863.083333333334,79884,5750.859154929577,99068,9956.185714285717,109144,12377.374999999998,79896,4858.704225352113,97605,9408.88732394366,107964,11936.402777777776
150184,24797.0,149646,24256.777777777777,154068,25556.958904109597,96418,10625.958333333334,111831,13512.986301369861,117447,14769.56338028169,79884,5876.98611111111,99068,10040.763888888892,109144,12427.698630136985,79897,4907.055555555557,97605,9426.191780821917,107964,11950.31506849315
152745,25032.438356164384,156401,24360.35616438356,164310,25345.902777777785,98403,10794.260273972603,111834,13315.39436619718,121542,14931.824324324325,80275,6012.58904109589,99068,10096.767123287675,109149,12250.86567164179,79897,5039.081081081082,99644,9403.499999999998,107964,11963.85135135135
155408,25260.12162162162,156401,24461.135135135137,164310,25623.918918918924,99284,10955.594594594595,115212,13608.599999999999,121543,14897.917808219177,81448,6141.027027027027,102902,10099.445945945949,109149,12476.62162162162,79898,5123.093333333334,99644,9420.716216216215,107965,11922.098591549295
158175,25479.17333333333,156401,24644.280000000002,164311,25689.080000000005,101270,11114.84,115212,13739.233766233767,121543,14964.813333333334,82258,6263.44,102902,10102.053333333337,109149,12524.239999999998,79900,4964.630136986302,99645,9455.792207792207,107966,11976.999999999998
161039,25690.947368421046,162649,24834.025974025975,164311,25947.28571428572,102152,11274.434210526315,115213,13561.405405405403,121544,14996.934210526315,83043,6391.368421052631,102902,10231.089743589746,114943,12325.6338028169,79904,5205.131578947369,101075,9426.359999999999,109901,11831.10769230769
163599,25897.24675324675,162649,25007.96153846154,164312,25752.513157894744,104230,11421.532467532466,118694,13651.86842105263,121545,15084.077922077922,84300,6510.1168831168825,103979,10141.473684210529,114943,12498.025641025639,79911,5295.584415584416,101075,9431.855263157893,114406,11917.987179487178
166193,26099.128205128203,162650,24740.394736842107,174455,26007.012820512828,105121,11570.499999999998,118694,13779.74358974359,128199,15083.278481012658,85183,6622.358974358974,103979,10179.87012987013,114943,12513.493670886075,81024,5387.243589743591,101075,9483.064102564102,114407,11956.802631578947
168924,26293.72151898734,169203,25094.53164556962,174455,26065.227848101273,107196,11708.86075949367,118694,13861.987341772152,128199,15082.9,86011,6740.9240506329115,103979,10280.455696202534,114943,12528.574999999999,81944,5475.037974683545,103245,9482.18987341772,114407,11937.12987012987
171502,26483.2125,169203,25178.9375,174455,26177.345679012353,107990,11847.925,122278,13897.375,128199,15082.543209876543,87263,6850.9125,106137,10301.612500000003,114944,12539.947368421052,82352,5557.625000000001,103245,9481.337499999998,114408,11899.303797468352
174250,26666.987654320987,169203,25339.30864197531,174455,26290.012195121955,110039,11978.493827160493,122278,14041.578313253012,128199,15264.081395348838,88006,6955.3456790123455,106137,10322.24691358025,120572,12579.913580246912,82866,5640.703703703704,103245,9509.891566265058,114408,11881.087499999998
176911,26846.29268292683,175448,25639.35714285714,174456,26121.975000000006,110960,12107.121951219513,122279,13931.876543209877,128200,15083.666666666666,88882,7067.792682926829,106137,10368.168674698798,120572,12629.999999999998,84278,5720.756097560977,105028,9483.75308641975,119117,11896.234567901232
179471,27020.036144578313,175449,25419.59756097561,,,112933,12229.903614457833,125657,13966.792682926829,132192,15110.878048780487,90110,7170.096385542169,109926,10322.37804878049,120572,12678.87951807229,85018,5800.638554216869,105028,9486.109756097558,119117,11925.421686746984
,,175449,25497.963855421687,,,113709,12351.440476190477,125657,14074.369047619048,132192,15165.535714285714,90978,7264.5,109926,10367.761904761908,120572,12726.607142857143,85212,5876.785714285716,105028,9527.726190476187,119117,11939.60714285714
,,,,,,115810,12467.117647058823,125657,14146.129411764707,132192,15191.905882352941,91847,7369.35294117647,109927,10442.325581395351,120573,12482.155844155843,85937,5950.988235294119,107337,9517.976470588232,119117,11953.458823529409
,,,,,,116592,12580.872093023256,129035,14176.941860465116,132192,15335.781609195403,93118,7467.7558139534885,111146,10398.317647058826,123539,12717.310344827587,87305,6023.046511627907,107337,9508.465116279065,119118,11910.999999999996
,,,,,,118523,12690.689655172413,129035,14207.045977011494,132193,15138.530120481928,93952,7554.3448275862065,111146,10512.909090909094,125195,12751.011235955057,88156,6094.310344827586,107337,9521.310344827582,120915,11966.220930232555
,,,,,,119356,12798.988636363636,129035,14304.370786516854,138949,15329.068181818182,94717,7652.988636363636,111147,10471.310344827589,125196,12862.217391304348,88237,6163.079545454545,108664,9518.784090909086,120915,11978.689655172411
,,,,,,121317,12903.696629213484,132309,14237.65909090909,138949,15322.505617977527,96053,7744.123595505618,113198,10530.516853932588,125197,12734.34090909091,89010,6231.887640449439,108664,9534.555555555551,120915,11990.874999999998
,,,,,,122018,13007.788888888888,132309,14333.222222222223,138949,15316.08888888889,96967,7823.1,113198,10547.744444444448,125197,12788.9,90371,6295.944444444444,108665,9516.303370786512,120915,12014.455555555553
,,,,,,124171,13107.945054945056,132313,14397.362637362638,138949,15378.25,97581,7916.087912087912,113198,10585.93406593407,125198,12825.945054945056,91238,6424.336956521739,110920,9527.615384615381,120916,12002.78651685393
,,,,,,125396,13201.41304347826,135592,14424.489130434782,138950,15309.813186813188,99030,8001.315217391304,117078,10581.10869565218,128663,12703.341176470589,91262,6360.714285714285,110920,9520.836956521734,124850,12020.879120879119
,,,,,,126831,13298.408602150537,135592,14451.032258064517,143252,15439.042105263157,99836,8076.8387096774195,117078,10576.387096774199,128663,12860.440860215054,92081,6487.376344086021,110920,9535.02127659574,124850,12027.173913043476
,,,,,,128163,13387.904255319148,135593,14512.978723404256,143252,15458.46875,100449,8165.244680851064,117079,10637.29473684211,128664,12680.60465116279,93470,6544.106382978724,112659,9518.65591397849,124850,12033.33333333333
,,,,,,129697,13478.915789473684,138972,14538.052631578947,143253,15398.946236559139,102000,8319.3125,118110,10601.680851063835,128664,12858.691489361701,94268,6603.136842105263,112659,9532.736842105258,124850,12039.372340425529
,,,,,,130826,13565.677083333334,138973,14562.59375,143253,15419.202127659575,102803,8238.842105263158,118110,10661.437500000005,128664,12888.17894736842,94435,6660.03125,112660,9528.275510204076,124851,12045.273684210524
,,,,,,132464,13652.731958762886,138975,14622.505154639175,143253,15522.865979381444,103316,8403.525773195875,118110,10710.28571428572,137259,15036.234042553191,95154,6717.01030927835,114706,9524.114583333328,132227,12054.33333333333
,,,,,,133486,13736.0,142452,14645.714285714286,149599,15521.19387755102,105059,8544.373737373737,120261,10675.030927835056,137259,16504.356643356645,96484,6768.622448979592,114706,9515.670103092778,132227,12063.206185567007
,,,,,,135232,13820.434343434343,142452,14668.464646464647,149599,15519.555555555555,105671,8471.377551020407,120261,10756.180000000004,137260,14286.45,97369,6820.585858585859,114706,9539.55555555555,132227,12071.89795918367
,,,,,,136149,13902.4,142453,14722.43,149599,15517.95,106079,8626.9,120263,10723.101010101014,137260,15775.457746478873,97409,6880.33,116037,9551.009803921563,132235,12080.343434343433
,,,,,,137994,13982.801980198019,145831,14741.881188118812,149599,15516.386138613861,108026,8757.64705882353,124111,10750.485148514856,139413,12823.0206185567,98121,6933.881188118812,116038,9537.299999999994,132235,12088.619999999997
,,,,,,138842,14062.274509803921,145831,14760.950980392157,149600,15598.815533980582,108952,8688.168316831683,124111,10797.625000000004,139413,12816.510204081633,99453,6981.343137254902,116039,9535.079207920786,133968,12095.643564356433
,,,,,,140658,14140.485436893205,145831,14813.582524271844,153695,15718.11214953271,108955,8836.611650485436,124112,10744.89215686275,139413,12820.059405940594,100379,7028.883495145631,117965,9547.922330097083,133968,12115.884615384613
,,,,,,141577,14216.423076923076,149210,14832.711538461539,153696,15537.93137254902,110954,8903.682692307691,125279,10765.84466019418,139415,12810.111111111111,100383,7085.2692307692305,117965,9544.903846153842,133968,12122.38095238095
,,,,,,143435,14290.57142857143,149210,14851.47619047619,153696,15619.163461538461,111818,8961.4,125279,10817.676190476195,139415,12803.85,101298,7134.971428571429,117965,9563.371428571425,133969,12102.519607843135
,,,,,,144291,14363.915094339623,149210,14900.688679245282,153696,15639.12380952381,111819,9036.22641509434,125280,10846.03773584906,141360,12816.862745098038,102368,7179.264150943396,119825,9563.952830188677,133969,12109.262135922329
,,,,,,146294,14433.635514018692,152484,14918.383177570093,153697,15658.698113207547,113866,9152.407407407407,127221,10855.72897196262,141360,12813.73786407767,103451,7222.196261682243,119825,9564.52336448598,137450,12130.669811320753
,,,,,,147104,14502.925925925925,152486,14935.74074074074,160557,15712.888888888889,114787,9090.514018691589,127221,10865.240740740745,141361,12810.663461538461,103451,7273.787037037037,119826,9566.163636363637,137450,12146.768518518516
,,,,,,149055,14569.880733944954,152486,14985.651376146789,160558,15707.752293577982,114862,9222.08256880734,127222,10894.293577981656,141361,12807.647619047619,104368,7320.724770642202,121978,9558.435185185184,137450,12154.706422018346
,,,,,,149876,14635.681818181818,155868,15003.918181818182,160558,15702.709090909091,116836,9280.645454545456,131066,10887.872727272732,141366,12832.603773584906,105291,7362.618181818182,121978,9552.458715596329,137451,12162.490909090908
,,,,,,151735,14700.306306306305,155868,15021.855855855856,160558,15697.756756756757,117961,9328.333333333336,131066,10881.576576576581,144326,12829.666666666666,106420,7403.2972972972975,121978,9580.513513513513,137452,12138.78504672897
,,,,,,152634,14763.794642857143,155868,15082.159292035398,160559,15750.49107142857,117965,9394.276785714288,131066,10925.920353982305,151598,12769.045454545454,106502,7450.732142857143,123411,9581.8125,145141,12101.547826086955
,,,,,,154474,14826.265486725664,159350,15036.732142857143,164959,15763.353982300885,119805,9449.769911504427,132242,10898.696428571433,151598,12765.648648648648,107342,7496.230088495575,123411,9583.08849557522,145142,12127.946428571426
